Country.Region,Province.State,date,confirmed,recovered,deaths,hospitalized_intensive,hospitalized_symptoms,isolated_at_home,tested,close_observation,suspected,serious_cases,active,alpha3
Afghanistan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-01-23,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-01-24,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-01-25,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-01-26,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-01-27,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-01-28,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-01-29,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-01-30,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-01-31,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-02,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-03,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-05,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-06,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-07,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-09,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-10,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-14,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-15,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-16,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-17,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-18,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-19,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-20,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-21,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-23,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Afghanistan,total,2020-02-24,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-02-25,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-02-26,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-02-27,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-02-28,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-02-29,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-03-01,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-03-02,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-03-03,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-03-04,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-03-05,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-03-06,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-03-07,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,AFG
Afghanistan,total,2020-03-08,4,0,0,NA,NA,NA,NA,NA,NA,NA,4,AFG
Afghanistan,total,2020-03-09,4,0,0,NA,NA,NA,NA,NA,NA,NA,4,AFG
Afghanistan,total,2020-03-10,5,0,0,NA,NA,NA,NA,NA,NA,NA,5,AFG
Afghanistan,total,2020-03-11,7,0,0,NA,NA,NA,NA,NA,NA,NA,7,AFG
Afghanistan,total,2020-03-12,7,0,0,NA,NA,NA,NA,NA,NA,NA,7,AFG
Afghanistan,total,2020-03-13,7,0,0,NA,NA,NA,NA,NA,NA,NA,7,AFG
Afghanistan,total,2020-03-14,11,0,0,NA,NA,NA,NA,NA,NA,NA,11,AFG
Afghanistan,total,2020-03-15,16,0,0,NA,NA,NA,NA,NA,NA,NA,16,AFG
Afghanistan,total,2020-03-16,21,1,0,NA,NA,NA,NA,NA,NA,NA,20,AFG
Afghanistan,total,2020-03-17,22,1,0,NA,NA,NA,NA,NA,NA,NA,21,AFG
Afghanistan,total,2020-03-18,22,1,0,NA,NA,NA,NA,NA,NA,NA,21,AFG
Afghanistan,total,2020-03-19,22,1,0,NA,NA,NA,NA,NA,NA,NA,21,AFG
Afghanistan,total,2020-03-20,24,1,0,NA,NA,NA,NA,NA,NA,NA,23,AFG
Afghanistan,total,2020-03-21,24,1,0,NA,NA,NA,NA,NA,NA,NA,23,AFG
Afghanistan,total,2020-03-22,40,1,1,NA,NA,NA,NA,NA,NA,NA,38,AFG
Afghanistan,total,2020-03-23,40,1,1,NA,NA,NA,NA,NA,NA,NA,38,AFG
Afghanistan,total,2020-03-24,74,1,1,NA,NA,NA,NA,NA,NA,NA,72,AFG
Afghanistan,total,2020-03-25,84,2,2,NA,NA,NA,NA,NA,NA,NA,80,AFG
Afghanistan,total,2020-03-26,94,2,4,NA,NA,NA,NA,NA,NA,NA,88,AFG
Afghanistan,total,2020-03-27,110,2,4,NA,NA,NA,NA,NA,NA,NA,104,AFG
Afghanistan,total,2020-03-28,110,2,4,NA,NA,NA,NA,NA,NA,NA,104,AFG
Afghanistan,total,2020-03-29,120,2,4,NA,NA,NA,NA,NA,NA,NA,114,AFG
Afghanistan,total,2020-03-30,170,2,4,NA,NA,NA,NA,NA,NA,NA,164,AFG
Afghanistan,total,2020-03-31,174,5,4,NA,NA,NA,NA,NA,NA,NA,165,AFG
Afghanistan,total,2020-04-01,237,5,4,NA,NA,NA,NA,NA,NA,NA,228,AFG
Afghanistan,total,2020-04-02,273,10,6,NA,NA,NA,NA,NA,NA,NA,257,AFG
Afghanistan,total,2020-04-03,281,10,6,NA,NA,NA,NA,NA,NA,NA,265,AFG
Afghanistan,total,2020-04-04,299,10,7,NA,NA,NA,NA,NA,NA,NA,282,AFG
Afghanistan,total,2020-04-05,349,15,7,NA,NA,NA,NA,NA,NA,NA,327,AFG
Albania,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-01-23,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-01-24,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-01-25,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-01-26,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-01-27,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-01-28,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-01-29,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-01-30,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-01-31,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-02,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-03,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-05,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-06,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-07,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-09,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-10,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-14,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-15,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-16,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-17,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-18,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-19,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-20,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-21,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-23,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-24,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-25,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-26,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-27,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-28,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-02-29,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-03-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-03-02,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-03-03,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-03-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-03-05,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-03-06,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-03-07,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-03-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Albania,total,2020-03-09,2,0,0,NA,NA,NA,NA,NA,NA,NA,2,ALB
Albania,total,2020-03-10,10,0,0,NA,NA,NA,NA,NA,NA,NA,10,ALB
Albania,total,2020-03-11,12,0,1,NA,NA,NA,NA,NA,NA,NA,11,ALB
Albania,total,2020-03-12,23,0,1,NA,NA,NA,NA,NA,NA,NA,22,ALB
Albania,total,2020-03-13,33,0,1,NA,NA,NA,NA,NA,NA,NA,32,ALB
